Job Title,Company,Industry,City,Experience,Employment Type,Work Mode,Company Email,Description,Posted Date
Accountant,Tata Group,Banking & Finance,Noida,Fresher,Full Time,On-site,careers@tatagroup.com,Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required.,2026-01-13
Accountant,L&T,Banking & Finance,Indore,3-5 Years,Full Time,Remote,careers@l&t.com,Support various tasks across teams as required. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards.,2025-12-31
Digital Marketing Executive,Amazon India,General,Lucknow,Fresher,Full Time,On-site,careers@amazonindia.com,Follow company policies and maintain quality standards. Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines.,2025-12-19
Teacher,ICICI Bank,Education,Jaipur,3-5 Years,Part Time,On-site,careers@icicibank.com,Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required. Follow company policies and maintain quality standards. Coordinate with team members and report progress to management.,2025-12-18
Interior Designer,Mahindra & Mahindra,General,Indore,1-3 Years,Full Time,On-site,careers@mahindra&mahindra.com,Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines.,2026-01-04
Mechanical Engineer,Adani Group,General,Indore,5+ Years,Full Time,On-site,careers@adanigroup.com,Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management. Support various tasks across teams as required.,2025-11-23
Teacher,Reliance Industries,Education,Mumbai,0-1 Years,Part Time,Hybrid,careers@relianceindustries.com,Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards.,2025-12-19
Accountant,Infosys,Banking & Finance,Bengaluru,Fresher,Full Time,Remote,careers@infosys.com,Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management.,2025-12-29
Site Supervisor,Infosys,Construction,Noida,5+ Years,Full Time,On-site,careers@infosys.com,Coordinate with engineers and contractors. Monitor project progress and report to management. Ensure safety standards and material quality. Supervise construction activities at the site.,2026-01-09
Interior Designer,Wipro,General,Gurgaon,3-5 Years,Full Time,On-site,careers@wipro.com,Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards.,2025-11-27
Assistant Professor,L&T,General,Ahmedabad,3-5 Years,Full Time,On-site,careers@l&t.com,Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required. Follow company policies and maintain quality standards.,2026-01-17
UI/UX Designer,Apollo Hospitals,General,Bengaluru,Fresher,Full Time,On-site,careers@apollohospitals.com,Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion.,2025-12-21
Graphic Designer,Adani Group,General,Indore,0-1 Years,Full Time,On-site,careers@adanigroup.com,Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards. Coordinate with team members and report progress to management.,2025-11-28
Software Engineer,Infosys,IT Services,Chennai,1-3 Years,Full Time,Remote,careers@infosys.com,"Debug, test, and optimize code for high performance. Collaborate with cross-functional teams to implement new features. Participate in code reviews and improve development standards. Design, develop, and maintain scalable software applications.",2025-12-17
Bank Clerk,Wipro,General,Mumbai,Fresher,Full Time,On-site,careers@wipro.com,Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards. Support various tasks across teams as required.,2026-01-18
Bank Clerk,Byju's,General,Hyderabad,3-5 Years,Full Time,On-site,careers@byju's.com,Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required. Coordinate with team members and report progress to management. Follow company policies and maintain quality standards.,2026-01-02
Teacher,Adani Group,Education,Jaipur,5+ Years,Full Time,Hybrid,careers@adanigroup.com,Support various tasks across teams as required. Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines.,2025-12-28
Assistant Professor,Apollo Hospitals,General,Delhi,1-3 Years,Full Time,On-site,careers@apollohospitals.com,Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required.,2025-11-21
Sales Manager,Swiggy,Retail,Nagpur,3-5 Years,Full Time,On-site,careers@swiggy.com,Negotiate contracts and maintain customer satisfaction. Achieve monthly targets and lead the sales team. Develop sales strategies and manage client relationships. Analyze market trends and customer needs.,2025-12-29
Electrical Technician,Reliance Industries,General,Jaipur,1-3 Years,Full Time,On-site,careers@relianceindustries.com,Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management.,2025-12-23
Quality Analyst,Byju's,General,Patna,1-3 Years,Full Time,On-site,careers@byju's.com,Follow company policies and maintain quality standards. Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines.,2025-11-26
Quality Analyst,Adani Group,General,Delhi,1-3 Years,Full Time,On-site,careers@adanigroup.com,Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines.,2025-12-07
Teacher,Infosys,Education,Bengaluru,0-1 Years,Full Time,Hybrid,careers@infosys.com,Follow company policies and maintain quality standards. Coordinate with team members and report progress to management. Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines.,2025-12-08
Digital Marketing Executive,ICICI Bank,General,Hyderabad,5+ Years,Full Time,On-site,careers@icicibank.com,Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards. Support various tasks across teams as required.,2026-01-10
