Job Title,Company,Industry,City,Experience,Employment Type,Work Mode,Company Email,Description,Posted Date
Hospital Administrator,Tata Group,General,Mumbai,Fresher,Full Time,On-site,careers@tatagroup.com,Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards. Support various tasks across teams as required.,2025-11-25
Graphic Designer,Adani Group,General,Bhopal,1-3 Years,Full Time,On-site,careers@adanigroup.com,Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines.,2026-01-01
Supply Chain Analyst,Mahindra & Mahindra,General,Mumbai,1-3 Years,Full Time,On-site,careers@mahindra&mahindra.com,Support various tasks across teams as required. Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards.,2025-12-31
Sales Manager,Zomato,Retail,Indore,Fresher,Full Time,On-site,careers@zomato.com,Develop sales strategies and manage client relationships. Negotiate contracts and maintain customer satisfaction. Prepare sales reports and presentations for management. Analyze market trends and customer needs.,2025-12-16
Staff Nurse,Apollo Hospitals,Healthcare,Noida,5+ Years,Part Time,On-site,careers@apollohospitals.com,Maintain medical records and ensure hygiene standards. Monitor patient vitals and administer medications. Communicate with patients and families about treatment plans. Provide patient care and assist doctors in clinical procedures.,2025-11-29
Site Supervisor,L&T,Construction,Pune,Fresher,Full Time,On-site,careers@l&t.com,Coordinate with engineers and contractors. Ensure safety standards and material quality. Monitor project progress and report to management. Schedule labor and resources efficiently to meet deadlines.,2025-12-26
Quality Analyst,Tata Group,General,Noida,0-1 Years,Full Time,On-site,careers@tatagroup.com,Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management. Follow company policies and maintain quality standards. Support various tasks across teams as required.,2026-01-04
Marketing Executive,HDFC Bank,Marketing & Advertising,Nagpur,Fresher,Full Time,Hybrid,careers@hdfcbank.com,Follow company policies and maintain quality standards. Support various tasks across teams as required. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines.,2025-12-04
Assistant Professor,Reliance Industries,General,Bengaluru,0-1 Years,Full Time,On-site,careers@relianceindustries.com,Coordinate with team members and report progress to management. Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required.,2025-12-23
Software Engineer,Reliance Industries,IT Services,Ahmedabad,Fresher,Full Time,On-site,careers@relianceindustries.com,"Debug, test, and optimize code for high performance. Write technical documentation and ensure proper version control. Design, develop, and maintain scalable software applications. Collaborate with cross-functional teams to implement new features.",2025-11-27
Graphic Designer,Tata Group,General,Delhi,0-1 Years,Full Time,On-site,careers@tatagroup.com,Support various tasks across teams as required. Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management.,2025-12-12
Sales Manager,Amazon India,Retail,Kolkata,3-5 Years,Full Time,On-site,careers@amazonindia.com,Develop sales strategies and manage client relationships. Analyze market trends and customer needs. Negotiate contracts and maintain customer satisfaction. Achieve monthly targets and lead the sales team.,2025-12-26
Customer Support Executive,Tata Group,General,Gurgaon,3-5 Years,Full Time,On-site,careers@tatagroup.com,Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards. Support various tasks across teams as required.,2025-12-22
Quality Analyst,Mahindra & Mahindra,General,Gurgaon,1-3 Years,Full Time,On-site,careers@mahindra&mahindra.com,Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management. Follow company policies and maintain quality standards. Support various tasks across teams as required.,2026-01-18
Electrical Technician,Tata Group,General,Bengaluru,Fresher,Full Time,On-site,careers@tatagroup.com,Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required. Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion.,2026-01-17
Marketing Executive,L&T,Marketing & Advertising,Indore,1-3 Years,Part Time,Hybrid,careers@l&t.com,Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required. Coordinate with team members and report progress to management.,2026-01-02
Mechanical Engineer,Adani Group,General,Ahmedabad,1-3 Years,Full Time,On-site,careers@adanigroup.com,Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required.,2025-12-06
HR Executive,Tata Group,IT Services,Patna,1-3 Years,Full Time,On-site,careers@tatagroup.com,"Support training and development initiatives. Maintain records of employee attendance and leave. Assist in employee engagement and performance management. Manage recruitment, onboarding, and employee documentation.",2025-12-29
UI/UX Designer,Reliance Industries,General,Ahmedabad,3-5 Years,Full Time,On-site,careers@relianceindustries.com,Follow company policies and maintain quality standards. Support various tasks across teams as required. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines.,2025-11-22
Site Supervisor,L&T,Construction,Nagpur,3-5 Years,Full Time,On-site,careers@l&t.com,Schedule labor and resources efficiently to meet deadlines. Coordinate with engineers and contractors. Supervise construction activities at the site. Monitor project progress and report to management.,2026-01-08
Project Coordinator,Reliance Industries,General,Lucknow,Fresher,Full Time,On-site,careers@relianceindustries.com,Follow company policies and maintain quality standards. Support various tasks across teams as required. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines.,2025-12-18
Customer Support Executive,Mahindra & Mahindra,General,Patna,Fresher,Full Time,On-site,careers@mahindra&mahindra.com,Follow company policies and maintain quality standards. Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management.,2026-01-06
Pharmacist,Reliance Industries,General,Bengaluru,3-5 Years,Full Time,On-site,careers@relianceindustries.com,Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Follow company policies and maintain quality standards.,2025-12-21
Supply Chain Analyst,Tata Group,General,Ahmedabad,Fresher,Full Time,On-site,careers@tatagroup.com,Support various tasks across teams as required. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards.,2025-12-30
Staff Nurse,Apollo Hospitals,Healthcare,Kolkata,5+ Years,Part Time,On-site,careers@apollohospitals.com,Assist in emergency situations and routine checkups. Maintain medical records and ensure hygiene standards. Provide patient care and assist doctors in clinical procedures. Monitor patient vitals and administer medications.,2025-11-21
Site Supervisor,Adani Group,Construction,Patna,3-5 Years,Full Time,On-site,careers@adanigroup.com,Supervise construction activities at the site. Ensure safety standards and material quality. Schedule labor and resources efficiently to meet deadlines. Coordinate with engineers and contractors.,2025-12-09
UI/UX Designer,Tata Group,General,Patna,Fresher,Full Time,On-site,careers@tatagroup.com,Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required.,2025-11-25
Project Coordinator,Tata Group,General,Jaipur,3-5 Years,Full Time,On-site,careers@tatagroup.com,Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management. Follow company policies and maintain quality standards.,2026-01-02
